path,type,enum,minimum,maximum
"ITR.ITR1.ScheduleTDS3Dtls.TDS3Details[].GrsRcptToTaxDeduct","integer","",0,99999999999999
"ITR.ITR1.ScheduleTDS3Dtls.TDS3Details[].TDSDeducted","integer","",0,99999999999999
"ITR.ITR1.ScheduleTDS3Dtls.TDS3Details[].TDSClaimed","integer","",0,99999999999999
"ITR.ITR1.ScheduleTDS3Dtls.TotalTDS3Details","integer","",0,99999999999999
"ITR.ITR1.ScheduleTCS.TCS[].AmtTaxCollected","integer","",0,99999999999999
"ITR.ITR1.ScheduleTCS.TCS[].CollectedYr","string","[\"2025\", \"2024\", \"2023\", \"2022\", \"2021\", \"2020\", \"2019\", \"2018\", \"2017\", \"2016\", \"2015\", \"2014\", \"2013\", \"2012\", \"2011\", \"2010\", \"2009\", \"2008\"]",null,null
"ITR.ITR1.ScheduleTCS.TCS[].TotalTCS","integer","",0,99999999999999
"ITR.ITR1.ScheduleTCS.TCS[].AmtTCSClaimedThisYear","integer","",0,99999999999999
"ITR.ITR1.ScheduleTCS.TotalSchTCS","integer","",0,99999999999999
"ITR.ITR1.TaxPayments.TaxPayment[].SrlNoOfChaln","integer","",0,99999
"ITR.ITR1.TaxPayments.TaxPayment[].Amt","integer","",0,99999999999999
"ITR.ITR1.TaxPayments.TotalTaxPayments","integer","",0,99999999999999
"ITR.ITR1.LTCG112A.TotSaleCnsdrn","integer","",0,99999999999999
"ITR.ITR1.LTCG112A.TotCstAcqisn","integer","",0,99999999999999
"ITR.ITR1.LTCG112A.LongCap112A","integer","",0,125000
"ITR.ITR1.Verification.Capacity","string","[\"S\", \"R\"]",null,null
"ITR.ITR1.TaxReturnPreparer.ReImbFrmGov","integer","",0,99999999999999
