Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2.ScheduleTDS1.TDSonSalary[].EmployerOrDeductorOrCollectDetl.TAN,Mandatory,object,Nested Object,pattern=HYD[A-Z][0-9]{5}[A-Z]|VPN[A-Z][0-9]{5}[A-Z]|BBN[A-Z][0-9]{5}[A-Z]|BPL[A-Z][0-9]{5}[A-Z]|JBP[A-Z][0-9]{5}[A-Z]|CHE[A-Z][0-9]{5}[A-Z]|CMB[A-Z][0-9]{5}[A-Z]|MRI[A-Z][0-9]{5}[A-Z]|DEL[A-Z][0-9]{5}[A-Z]|CAL[A-Z][0-9]{5}[A-Z]|MRT[A-Z][0-9]{5}[A-Z]|AHM[A-Z][0-9]{5}[A-Z]|BRD[A-Z][0-9]{5}[A-Z]|RKT[A-Z][0-9]{5}[A-Z]|SRT[A-Z][0-9]{5}[A-Z]|BLR[A-Z][0-9]{5}[A-Z]|AGR[A-Z][0-9]{5}[A-Z]|KNP[A-Z][0-9]{5}[A-Z]|CHN[A-Z][0-9]{5}[A-Z]|TVD[A-Z][0-9]{5}[A-Z]|ALD[A-Z][0-9]{5}[A-Z]|LKN[A-Z][0-9]{5}[A-Z]|MUM[A-Z][0-9]{5}[A-Z]|NGP[A-Z][0-9]{5}[A-Z]|AMR[A-Z][0-9]{5}[A-Z]|JLD[A-Z][0-9]{5}[A-Z]|PTL[A-Z][0-9]{5}[A-Z]|RTK[A-Z][0-9]{5}[A-Z]|KLP[A-Z][0-9]{5}[A-Z]|NSK[A-Z][0-9]{5}[A-Z]|PNE[A-Z][0-9]{5}[A-Z]|PTN[A-Z][0-9]{5}[A-Z]|RCH[A-Z][0-9]{5}[A-Z]|JDH[A-Z][0-9]{5}[A-Z]|JPR[A-Z][0-9]{5}[A-Z]|SHL[A-Z][0-9]{5}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS1.TDSonSalary[].EmployerOrDeductorOrCollectDetl.EmployerOrDeductorOrCollecterName,Mandatory,object,Nested Object,maxLength=125; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleTDS1.TDSonSalary[].IncChrgSal,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleTDS1.TDSonSalary[].TotalTDSSal,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleTDS1.TotalTDSonSalaries,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleTDS2,Optional,object,Nested Object,,,,ScheduleTDS2,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls,Optional,array,Array,minItems=1,,,,items: object
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TDSCreditName,Mandatory,string,Scalar,,"S, O",S - Self; O - Other Person,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].PANofOtherPerson,Optional,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].AadhaarOfOtherPerson,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TANOfDeductor,Mandatory,object,Nested Object,pattern=HYD[A-Z][0-9]{5}[A-Z]|VPN[A-Z][0-9]{5}[A-Z]|BBN[A-Z][0-9]{5}[A-Z]|BPL[A-Z][0-9]{5}[A-Z]|JBP[A-Z][0-9]{5}[A-Z]|CHE[A-Z][0-9]{5}[A-Z]|CMB[A-Z][0-9]{5}[A-Z]|MRI[A-Z][0-9]{5}[A-Z]|DEL[A-Z][0-9]{5}[A-Z]|CAL[A-Z][0-9]{5}[A-Z]|MRT[A-Z][0-9]{5}[A-Z]|AHM[A-Z][0-9]{5}[A-Z]|BRD[A-Z][0-9]{5}[A-Z]|RKT[A-Z][0-9]{5}[A-Z]|SRT[A-Z][0-9]{5}[A-Z]|BLR[A-Z][0-9]{5}[A-Z]|AGR[A-Z][0-9]{5}[A-Z]|KNP[A-Z][0-9]{5}[A-Z]|CHN[A-Z][0-9]{5}[A-Z]|TVD[A-Z][0-9]{5}[A-Z]|ALD[A-Z][0-9]{5}[A-Z]|LKN[A-Z][0-9]{5}[A-Z]|MUM[A-Z][0-9]{5}[A-Z]|NGP[A-Z][0-9]{5}[A-Z]|AMR[A-Z][0-9]{5}[A-Z]|JLD[A-Z][0-9]{5}[A-Z]|PTL[A-Z][0-9]{5}[A-Z]|RTK[A-Z][0-9]{5}[A-Z]|KLP[A-Z][0-9]{5}[A-Z]|NSK[A-Z][0-9]{5}[A-Z]|PNE[A-Z][0-9]{5}[A-Z]|PTN[A-Z][0-9]{5}[A-Z]|RCH[A-Z][0-9]{5}[A-Z]|JDH[A-Z][0-9]{5}[A-Z]|JPR[A-Z][0-9]{5}[A-Z]|SHL[A-Z][0-9]{5}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TDSSection,Mandatory,object,Nested Object,,"92A, 92B, 92C, 192A, 193, 194, 94A, 94B, 94BA, 4BB, 94C, 94D, 4DA, 94E, 4EE, 4F, 4G, 4H, 4-IA, 4-IB ... (+39 more)",92A:192- Salary-Payment to Government employees other than Indian Government employees; 92B:192- Salary-Payment to employees other than Government employees; 92C:192- Salary-Payment to Indian Governme, (allOf: nonEmptyString),
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].DeductedYr,Optional,integer,Scalar,max=2024; min=2008,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",,DeductedYr,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].BroughtFwdTDSAmt,Optional,integer,Scalar,max=99999999999999; min=0; default=0,,,BroughtFwdTDSAmt,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls,Mandatory,object,Nested Object,,,,TaxDeductCreditDtls,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxDeductedOwnHands,Optional,integer,Scalar,max=99999999999999; min=0,,,,
