Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2.PartA_GEN1.PersonalInfo.Address.PinCode,Optional,integer,Scalar,pattern=[1-9]{1}[0-9]{5}; max=999999; min=100000,,,,
ITR2.PartA_GEN1.PersonalInfo.Address.ZipCode,Optional,object,Nested Object,maxLength=8,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.Phone,Optional,object,Nested Object,,,,,
ITR2.PartA_GEN1.PersonalInfo.Address.CountryCodeMobile,Mandatory,integer,Scalar,"pattern=[0-9]{1,5}",,,,
ITR2.PartA_GEN1.PersonalInfo.Address.MobileNo,Mandatory,integer,Scalar,"pattern=[1-9]{1}[0-9]{9}|[1-9]{1}[0-9]{4,9}",,,,
ITR2.PartA_GEN1.PersonalInfo.Address.CountryCodeMobileNoSec,Optional,integer,Scalar,"pattern=[0-9]{1,5}",,,,
ITR2.PartA_GEN1.PersonalInfo.Address.MobileNoSec,Optional,integer,Scalar,"pattern=[1-9]{1}[0-9]{9}|[1-9]{1}[0-9]{4,9}",,,,
ITR2.PartA_GEN1.PersonalInfo.Address.EmailAddress,Mandatory,object,Nested Object,pattern=([\.a-zA-Z0-9_\-])+@([a-zA-Z0-9_\-])+(([a-zA-Z0-9_\-])*\.([a-zA-Z0-9_\-])+)+; maxLength=125; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.Address.EmailAddressSec,Optional,object,Nested Object,pattern=([\.a-zA-Z0-9_\-])+@([a-zA-Z0-9_\-])+(([a-zA-Z0-9_\-])*\.([a-zA-Z0-9_\-])+)+; maxLength=125,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.SecondaryAdd,Mandatory,string,Scalar,,"Y, N","Y: Yes, N : No",,
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress,Optional,object,Nested Object,,,Alternate Address of assessee,AlternateAddress,
