path,type,required,constraints,description
ITR.ITR1.CreationInfo,object,Y,,This element will be used by third party vendors and intermediaries to give details of their software or JSON creation.
ITR.ITR1.CreationInfo.SWVersionNo,string,Y,"{""minLength"":1,""maxLength"":10,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""default"":""1.0""}",
ITR.ITR1.CreationInfo.SWCreatedBy,string,Y,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[S][W][0-9]{8}""]}",
ITR.ITR1.CreationInfo.JSONCreatedBy,string,Y,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[S][W][0-9]{8}""]}",
ITR.ITR1.CreationInfo.JSONCreationDate,string,Y,"{""pattern"":""([12]\\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\\d|3[01]))""}",JSONCreationDate in YYYY-MM-DD format
ITR.ITR1.CreationInfo.IntermediaryCity,string,Y,"{""minLength"":1,""maxLength"":25,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""default"":""Delhi""}",
ITR.ITR1.CreationInfo.Digest,string,Y,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""-|.{44}""]}",
ITR.ITR1.Form_ITR1,object,Y,,"This is the element identified for ITR-1, holding AY, Form and Schema version values."
ITR.ITR1.Form_ITR1.FormName,string,Y,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""ITR-1""]}",
ITR.ITR1.Form_ITR1.Description,string,Y,"{""minLength"":1,""maxLength"":75,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR1.Form_ITR1.AssessmentYear,string,Y,"{""minLength"":4,""maxLength"":4,""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""2026""]}",
ITR.ITR1.Form_ITR1.SchemaVer,string,Y,"{""minLength"":1,""maxLength"":10,""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""Ver1.0""]}",
ITR.ITR1.Form_ITR1.FormVer,string,Y,"{""minLength"":1,""maxLength"":10,""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""Ver1.0""]}",
ITR.ITR1.PersonalInfo,object,Y,,Enter personal information
ITR.ITR1.PersonalInfo.AssesseeName,object,Y,,Assessee name with Surname mandatory.
ITR.ITR1.PersonalInfo.AssesseeName.FirstName,string,N,"{""maxLength"":25,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR1.PersonalInfo.AssesseeName.MiddleName,string,N,"{""maxLength"":25,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR1.PersonalInfo.AssesseeName.SurNameOrOrgName,string,Y,"{""minLength"":1,""maxLength"":75,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",Enter Last or Sur name for Individual name here
ITR.ITR1.PersonalInfo.PAN,string,Y,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[A-Z]{5}[0-9]{4}[A-Z]""]}",
ITR.ITR1.PersonalInfo.Address,object,Y,,Address of assessee
ITR.ITR1.PersonalInfo.Address.ResidenceNo,string,Y,"{""minLength"":1,""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR1.PersonalInfo.Address.ResidenceName,string,N,"{""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR1.PersonalInfo.Address.RoadOrStreet,string,N,"{""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR1.PersonalInfo.Address.LocalityOrArea,string,Y,"{""minLength"":1,""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
